MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
sternopage;sternopages;;
sterno-pubien;;;
sterno-thyroïdien;;;
sterno-vertébral;;;stéroïdien
sternutatif;;stéroïdien;stéroïdiennes
stéroïdien;stéroïdien;stéroïdiennes;stéroïdienne
sthénique;sthéniques;;
sthénogène;;stimulée;stimulés
stimulé;stimulée;stimulés;stimulées
stipité;stipité;stipités;stipitée
stolonial;stoloniale;stoloniales;stoloniaux
stolonifère;stolonifères;;
stomapode;;;
stomatopode;;;stratiforme
strangulatoire;;stratiforme;
stratiforme;stratiforme;;streptococciques
streptococcique;streptococciques;;stressante
stressant;stressante;stressantes;stressant
stressé;stressés;stressée;stressées
structurant;structurante;structurants;structurantes
stuporeux;stuporeuse;stuporeuses;
stupreux;;;
stylaire;;;
stylisateur;;;stylolithiques
stylo-glosse;;stylolithiques;
stylolithique;stylolithiques;;stylolitiques
stylolitique;stylolitiques;;stylo-mastoïdien
stylo-mastoïdien;stylo-mastoïdien;;stylo-pharyngiens
stylo-pharyngien;stylo-pharyngiens;;
subabdominal;;subalaires;
subalaire;subalaires;;
sub-antarctique;;subantarctique;
subantarctique;subantarctique;;subaquatiques
subaquatique;subaquatiques;;subarctiques
subarctique;subarctiques;;
subatlantique;;subatomiques;
subatomique;subatomiques;;
subboréal;;subcarpatiques;
subcarpatique;subcarpatiques;;subcaudale
subcaudal;subcaudale;subcaudales;subcaudaux
subcellulaire;subcellulaire;;subcontraires
subcontraire;subcontraires;;
subcorticole;;subdésertiques;
subdésertique;subdésertiques;;subéquatoriale
subéquatorial;subéquatoriale;subéquatoriales;subéquatoriaux
subfébrile;subfébriles;;
subfossile;;;subictériques
subhumain;;subictériques;
subictérique;subictériques;;subjuguante
subjuguant;subjuguante;subjuguantes;subjuguants
sublétal;sublétales;sublétaux;sublétal
sublimable;sublimables;;sublimatoires
sublimatoire;sublimatoires;;subliminaires
subliminaire;subliminaires;;submarginale
submarginal;submarginale;submarginales;submarginaux
submergé;submergés;submergée;submergées
submergeant;;;submillimétriques
submicroscopique;;submillimétriques;
submillimétrique;submillimétriques;;suborbitaux
suborbital;suborbitaux;suborbitale;suborbitales
subphotosphérique;;;subsoniques
subpolaire;;subsoniques;
subsonique;subsoniques;;
substandard;;substructurale;substructurales
substructural;substructurale;substructurales;substructuraux
subterminal;subterminale;subterminales;subterminaux
subtotal;subtotale;subtotales;subtotaux
subtropical;subtropical;subtropicale;subtropicaux
subulirostre;;;succombante
subventionnaire;;succombante;succombantes
succombant;succombante;succombantes;succombants
sucé;sucées;sucée;sucés
sucrailleux;;sucrante;sucrants
sucrant;sucrante;sucrants;sucrantes
sucré;sucré;sucrés;sucrées
sud-africain;sud-africaine;sud-africains;sud-africaines
sudafricain;;sud-américaine;sud-américains
sud-américain;sud-américaine;sud-américains;sud-américaines
sudaméricain;;sudarabiques;
sudarabique;sudarabiques;;sud-coréenne
sud-coréen;sud-coréenne;sud-coréens;sud-coréennes
sud-européen;;;sudorifère
sud-oriental;;sudorifère;
sudorifère;sudorifère;;
sud-tropical;;sud-vietnamien;sud-vietnamienne
sud-vietnamien;sud-vietnamien;sud-vietnamienne;sud-vietnamiens
suicidogène;suicidogènes;;suintantes
suintant;suintantes;suintante;suintants
suiviste;suivistes;;sulfamidobenzoïques
sulfamidobenzoïque;sulfamidobenzoïques;;sulfamiques
sulfamique;sulfamiques;;sulfaniliques
sulfanilique;sulfaniliques;;
sulfatant;;;
sulfato-réducteur;;;sulféniques
sulfatoréducteur;;sulféniques;
sulfénique;sulféniques;;sulfindigotiques
sulfindigotique;sulfindigotiques;;sulfiniques
sulfinique;sulfiniques;;sulfoarséniques
sulfoarsénique;sulfoarséniques;;
sulfobenzoïque;;sulfocarboniques;
sulfocarbonique;sulfocarboniques;;sulfochlorhydriques
sulfochlorhydrique;sulfochlorhydriques;;sulfochromiques
sulfochromique;sulfochromiques;;
sulfoconjugué;;sulfocyaniques;
sulfocyanique;sulfocyaniques;;sulfomanganiques
sulfomanganique;sulfomanganiques;;
sulfonant;;sulfonitriques;
sulfonitrique;sulfonitriques;;sulforiciniques
sulforicinique;sulforiciniques;;
sulfosalicylique;;sulfoviniques;
sulfovinique;sulfoviniques;;
sulfoxylique;;sulfurante;sulfurantes
sulfurant;sulfurante;sulfurantes;sulfurants
sulfurifère;;;
sulfurin;;;
sulpiciard;;;
super-8;;;supercarrés
super-carré;;supercarrés;
supercarré;supercarrés;;supercavitante
supercavitant;supercavitante;supercavitantes;supercavitants
supercritique;supercritiques;;
superfétatif;;superficiaires;
superficiaire;superficiaires;;superfluides
superfluide;superfluides;;
super-huit;;;
superhuit;;;superlégers
superhumain;;superlégers;superlégère
superléger;superlégers;superlégère;superlégères
superluminique;superluminique;;
supernational;;;superordonnée
supernormal;;superordonnée;superordonnés
superordonné;superordonnée;superordonnés;superordonnées
superovarié;superovariée;superovariées;superovariés
superpaléolithique;;superplastiques;
superplastique;superplastiques;;
supinal;;;
supplicateur;;;
supplicatoire;;;
suppliciable;;;
suppliciale;;;
suppliciateur;;;
suppositif;;;suppressives
suppressible;;suppressives;suppressif
suppressif;suppressives;suppressif;suppressifs
suppuratoire;;;
suppureux;;;
supputable;;;supraconducteur
supra-axillaire;;supraconducteur;supraconductrices
supraconducteur;supraconducteur;supraconductrices;supraconductrice
supra-conscient;;;
supraconscient;;;
supra-constitutionnel;;;
supracrétacé;;;
supradental;;;
supradyne;;;supra-humain
supraglaciaire;;supra-humain;supra-humaines
supra-humain;supra-humain;supra-humaines;supra-humains
supra-individuel;;;supraliminaires
suprajurassique;;supraliminaires;
supraliminaire;supraliminaires;;
supraliminal;;supralittorale;supralittorales
supralittoral;supralittorale;supralittorales;supralittoraux
supralocal;supralocale;supralocales;supralocaux
supra-mondain;;;supranationaliste
supramondain;;supranationaliste;
supranationaliste;supranationaliste;;
supra-naturel;;;
supra-normal;;;
supra-optique;;;
supraoptique;;;
supra-orbital;;;
supra-rationnel;;;
suprarationnel;;;
supra-réel;;;suprarénale
supraréel;;suprarénale;suprarénales
suprarénal;suprarénale;suprarénales;suprarénaux
suprascapulaire;;;suprasegmentaux
supra-segmental;;suprasegmentaux;suprasegmentales
suprasegmental;suprasegmentaux;suprasegmentales;suprasegmentale
supra-social;;;
suprasocial;;;
supraspatial;;;supraterrestres
supra-terrestre;;supraterrestres;supra-terrestres
supraterrestre;supraterrestres;supra-terrestres;
supraventriculaire;supraventriculaires;;
surclavier;;surcostale;surcostales
surcostal;surcostale;surcostales;surcostaux
surcreusé;surcreusée;surcreusées;surcreusés
surdéterminant;surdéterminante;surdéterminants;surdéterminantes
surépineux;;;surexcitables
surérogatif;;surexcitables;
surexcitable;surexcitables;;
surfacé;;surfondue;surfondus
surfondu;surfondue;surfondus;surfondues
surmoïque;surmoïques;;surmontables
surmontable;surmontables;;
surnageant;;surplombante;surplombantes
surplombant;surplombante;surplombantes;surplombants
surpopuleux;;surréalisante;surréalisantes
surréalisant;surréalisante;surréalisantes;surréalisants
sursulfaté;;survireur;survireurs
survireur;survireur;survireurs;survireuses
susciteur;;sus-dominantes;
sus-dominante;sus-dominantes;;sus-jacents
sus-jacent;sus-jacents;sus-jacente;sus-jacentes
sus-métacarpien;;;
suspensible;;;
suspensoïde;;;
sustensif;;;susurrante
sus-tonique;;susurrante;susurrantes
susurrant;susurrante;susurrantes;susurrants
susurreur;;;
sycéphalien;;;sylleptiques
sycéphalique;;sylleptiques;
sylleptique;sylleptiques;;
symbolisateur;;;symèles
symédian;;symèles;
symèle;symèles;;
symélien;;;symétrisables
symélique;;symétrisables;
symétrisable;symétrisables;;sympas
sympa;sympas;;sympathicolytiques
sympathicolytique;sympathicolytiques;;sympathicomimétiques
sympathicomimétique;sympathicomimétiques;;sympathicotoniques
sympathicotonique;sympathicotoniques;;sympathomimétique
sympathomimétique;sympathomimétique;;sympatrique
sympatrique;sympatrique;;
sympétalique;;symphiles;
symphile;symphiles;;
symphilie;;;symphysaires
symphonisant;;symphysaires;
symphysaire;symphysaires;;
symphysé;;;
symphysien;;;
symphytanthéré;;;
symphytogyne;;;symplasmiques
symphytothèle;;symplasmiques;
symplasmique;symplasmiques;;
symplocé;;;
symplociné;;;sympodiale
sympode;;sympodiale;sympodiales
sympodial;sympodiale;sympodiales;sympodiaux
sympodique;sympodiques;;
symptomal;;;
synadelphien;;;
synadelphique;;;
synalgique;;;
synallactique;;;
synangiale;;;
synanthe;;;synanthérée
synanthé;;synanthérée;synanthéré
synanthéré;synanthérée;synanthéré;synanthérés
synanthérique;;;
synaposématique;;;syncatégorématiques
syncarpé;;syncatégorématiques;
syncatégorématique;syncatégorématiques;;
syncéphale;;;
syncéphalé;;;
synchro;;;syncinétiques
syncinématique;;syncinétiques;
syncinétique;syncinétiques;;
synclétique;;;
synclitique;;;
syncotylédoné;;;
syncrânien;;;syncytiale
syncritique;;syncytiale;syncytiaux
syncytial;syncytiale;syncytiaux;syncytiales
syndactyle;syndactyles;;syndicalisable
syndicalisable;syndicalisable;;syndiotactiques
syndiotactique;syndiotactiques;;
syndoxique;;;
synématique;;;
synemmenon;;;
synemménon;;;synergiste
synemménon;;synergiste;
synergiste;synergiste;;syngamiques
syngamique;syngamiques;;
syngène;;;
syngenèse;;;
syngénèse;;;
syngénèse;;;
syngénésique;;;
synistate;;;
synnemmenon;;;
synnemménon;;;
synnemménon;;;
synnomique;;;
synorhize;;;
synorogénique;;;
synorrhize;;;
synote;;;
synotien;;;synpériplanaires
synotique;;synpériplanaires;
synpériplanaire;synpériplanaires;;
synpraxique;;synsédimentaires;
synsédimentaire;synsédimentaires;;
synsomatique;;;
synsporé;;;
synstémone;;;syntectoniques
synstylé;;syntectoniques;
syntectonique;syntectoniques;;synténiques
synténique;synténiques;;synthétisante
synthétisant;synthétisante;synthétisantes;synthétisants
synthétiste;synthétistes;;
synthrône;;;
syntoxique;;;
syntrophe;;;
syntrophique;;;
syntropique;;;syphiloïdes
synusiale;;syphiloïdes;
syphiloïde;syphiloïdes;;syringomyéliques
syringomyélique;syringomyéliques;;
syrrhaptidé;;;
syrrhaptiné;;;
syrrhize;;;
sysomatique;;;
sysomien;;;
sysporé;;;
syssémantique;;;
syssomatique;;;systémiques
syssomien;;systémiques;
systémique;systémiques;;
systylé;;;tachante
tabarinesque;;tachante;tachants
tachant;tachante;tachants;tachantes
tachéographique;;tachéométriques;
tachéométrique;tachéométriques;;
tachinaire;;;tachistoscopiques
tachinaires;;tachistoscopiques;
tachistoscopique;tachistoscopiques;;tachycardiques
tachycardique;tachycardiques;;
tachygénétique;;;
tachymétrique;;;
tachyphylactique;;;
tachypsychique;;;tahitienne
tachysystolique;;tahitienne;tahitiens
tahitien;tahitienne;tahitiens;tahitiennes
tailladé;tailladés;tailladées;tailladée
tambourinant;;;tamile
tambouriné;;tamile;tamils
tamil;tamile;tamils;tamiles
tannifère;;;
tantalien;;;
taquinant;;;
taraudé;;;
tartouse;;;tartrée
tartouze;;tartrée;tartrées
tartré;tartrée;tartrées;tartrés
tartrifuge;;;
tartrivore;;;
tartuffard;;;
tartufiard;;;
tastevinesque;;;
tâtillon;;;
tâtillon;;;
tatillonnant;;;
tâtillonnant;;;
tâtillonnant;;;
tatillonneux;;;
tâtillonneux;;;
tâtillonneux;;;tautomère
tauricide;;tautomère;
tautomère;tautomère;;tautomériques
tautomérique;tautomériques;;
taxicole;;taxidermiques;
taxidermique;taxidermiques;;taxiques
taxique;taxiques;;
taxologique;;taylorienne;tayloriennes
taylorien;taylorienne;tayloriennes;tayloriens
technétronique;technétroniques;;technicistes
techniciste;technicistes;;technico-scientifiques
technico-scientifique;technico-scientifiques;;techno-bureaucratiques
techno-bureaucratique;techno-bureaucratiques;;technobureaucratiques
technobureaucratique;technobureaucratiques;;technophiles
technophile;technophiles;;
techno-scientifique;;;
technoscientifique;;;
techno-sociologique;;;teintante
tectogène;;teintante;teintantes
teintant;teintante;teintantes;teintants
télédétecteur;;télédynamiques;
télédynamique;télédynamiques;;téléfériques
téléférique;téléfériques;;télégéniques
télégénique;télégéniques;;
télégrammique;;;
télékinétique;;;téléphotographiques
téléologiste;;téléphotographiques;
téléphotographique;téléphotographiques;;télescopeurs
télescopeur;télescopeurs;télescopeuse;télescopeuses
télesthésique;télesthésiques;;tellurée
telluré;tellurée;tellurées;tellurés
tellurhydrique;tellurhydriques;;télocentriques
télocentrique;télocentriques;;télolécithe
télolécithe;télolécithe;;télolécithiques
télolécithique;télolécithiques;;
tempêtant;;tenaillante;tenaillantes
tenaillant;tenaillante;tenaillantes;tenaillants
tenaillé;;;
tendrelet;;;
tendret;;;ténébreuse
tendronnier;;ténébreuse;ténébreuses
ténébreux;ténébreuse;ténébreuses;
ténébricole;;tennistiques;
tennistique;tennistiques;;ténorisante
ténorisant;ténorisante;ténorisantes;ténorisants
tensio-actif;tensio-active;tensio-actives;tensio-actif
tensioactif;tensioactif;tensioactives;tensioactive
tentaculifère;;;
tentatif;;;
tenturé;;;tératogènes
ténuirostres;;tératogènes;
tératogène;tératogènes;;tératoïdes
tératoïde;tératoïdes;;terbiques
terbique;terbiques;;térébiques
térébique;térébiques;;terminée
terminé;terminée;terminées;terminés
termitophage;;;terrassée
termitophile;;terrassée;terrassés
terrassé;terrassée;terrassés;terrassées
terrasseux;terrasseuses;terrasseux;
terre-à-terre;;terre-neuvien;terre-neuviens
terre-neuvien;terre-neuvien;terre-neuviens;terre-neuviennes
terrestriel;;terricole;
terricole;terricole;;terrorisante
terrorisant;terrorisante;terrorisantes;terrorisants
tête-de-nègre;;;
tétonneuse;;;
tétrabranche;;;
tétracalcique;;;tétracycliques
tétracentigrade;;tétracycliques;
tétracyclique;tétracycliques;;tétradactyle
tétradactyle;tétradactyle;;tétradynames
tétradyname;tétradynames;;
tétragénique;;tétragonale;tétragonales
tétragonal;tétragonale;tétragonales;tétragonaux
tétralogique;;tétramères;
tétramère;tétramères;;tétramorphes
tétramorphe;tétramorphes;;
tétraparental;;tétraplégiques;
tétraplégique;tétraplégiques;;
tétrapneumone;;tétrapolaires;
tétrapolaire;tétrapolaires;;tétrarchiques
tétrarchique;tétrarchiques;;
tétrasomique;;;tétrasubstituée
tétrasporé;;tétrasubstituée;tétrasubstituées
tétrasubstitué;tétrasubstituée;tétrasubstituées;tétrasubstitués
tétratomique;tétratomiques;;tétravalents
tétravalent;tétravalents;tétravalente;tétravalentes
tétrazoïde;;;thalassémiques
teutomane;;thalassémiques;
thalassémique;thalassémiques;;thalassothérapiques
thalassothérapique;thalassothérapiques;;thalassotoques
thalassotoque;thalassotoques;;thalleuses
thalleux;thalleuses;thalleux;
thallique;thalliques;;
thalloïde;;thanatologiques;
thanatologique;thanatologiques;;
thécodonte;;;théocentriques
théiforme;;théocentriques;
théocentrique;théocentriques;;
théocratiste;;;
théopathique;;;théophaniques
théophage;;théophaniques;
théophanique;théophaniques;;
théophobe;;théorématiques;
théorématique;théorématiques;;thermaliste
thermaliste;thermaliste;;
thermaquicole;;;thermocollantes
thermicien;;thermocollantes;thermocollants
thermocollant;thermocollantes;thermocollants;thermocollante
thermodurcissable;thermodurcissable;;thermoélastiques
thermoélastique;thermoélastiques;;thermoformée
thermoformé;thermoformée;thermoformées;thermoformés
thermohalin;thermohalin;thermohalines;thermohalins
thermo-ionique;;;thermomécaniques
thermoionique;;thermomécaniques;
thermomécanique;thermomécaniques;;
thermominéral;;thermophile;
thermophile;thermophile;;
thermoplaste;;thermopondérale;thermopondérales
thermopondéral;thermopondérale;thermopondérales;thermopondéraux
thermopropulsé;thermopropulsée;thermopropulsées;thermopropulsés
thermopropulsif;thermopropulsif;thermopropulsifs;thermopropulsives
thermo-rétractable;;thermosensible;
thermosensible;thermosensible;;thermostabiles
thermostabile;thermostabiles;;
thésaurisateur;;thiocarboniques;
thiocarbonique;thiocarboniques;;thiocyaniques
thiocyanique;thiocyaniques;;thioféniques
thiofénique;thioféniques;;thiosulfuriques
thiosulfurique;thiosulfuriques;;thixotropes
thixotrope;thixotropes;;thixotropiques
thixotropique;thixotropiques;;
thrombo-embolique;;thromboemboliques;
thromboembolique;thromboemboliques;;thrombogènes
thrombogène;thrombogènes;;thrombolytiques
thrombolytique;thrombolytiques;;thromboplastiques
thromboplastique;thromboplastiques;;
thurifère;;;thymoanaleptiques
thymo-analeptique;;thymoanaleptiques;
thymoanaleptique;thymoanaleptiques;;thymoleptiques
thymoleptique;thymoleptiques;;
thyréo-aryténoïdien;;;
thyréo-cardiaque;;;
thyréo-épiglottidien;;;thyréogènes
thyréo-épiglottique;;thyréogènes;
thyréogène;thyréogènes;;
thyréo-glosse;;;
thyréoglosse;;;
thyréo-hyoïdien;;;thyréoprives
thyréo-pharyngien;;thyréoprives;
thyréoprive;thyréoprives;;
thyréosique;;;
thyréo-staphylin;;;
thyréostatique;;;
thyréostimulant;;;thyréotoxiques
thyréo-toxique;;thyréotoxiques;
thyréotoxique;thyréotoxiques;;thyréotropes
thyréotrope;thyréotropes;;thyro-aryténoïdien
thyro-aryténoïdien;thyro-aryténoïdien;;
thyro-basedowien;;;
thyro-endocrinien;;;
thyro-épiglottidien;;;thyrogènes
thyro-épiglottique;;thyrogènes;
thyrogène;thyrogènes;;
thyro-génital;;;
thyro-glosse;;;thyro-hyoïdiens
thyroglosse;;thyro-hyoïdiens;
thyro-hyoïdien;thyro-hyoïdiens;;
thyroïdodépendant;;;
thyro-pharyngien;;;
thyroprive;;;
thyro-staphylin;;;
thyro-testiculaire;;;thyrotoxiques
thyro-thymique;;thyrotoxiques;
thyrotoxique;thyrotoxiques;;
thyro-trachéen;;thyrotropes;
thyrotrope;thyrotropes;;tibéto-birman
tibéto-birman;tibéto-birman;;
tibéto-mongol;;;tiers-mondistes
tiercéiste;;tiers-mondistes;
tiers-mondiste;tiers-mondistes;;
tigresque;;tildée;tildées
tildé;tildée;tildées;tildés
tintinnabulant;tintinnabulant;tintinnabulants;tintinnabulante
tiré;tirés;tirée;tirées
tire-bouchonnant;;;tire-bouchonnée
tirebouchonnant;;tire-bouchonnée;tire-bouchonné
tire-bouchonné;tire-bouchonnée;tire-bouchonné;tire-bouchonnées
tisonnant;;titanienne;titaniennes
titanien;titanienne;titaniennes;titaniens
titanifère;;;
titillant;;;
titularisable;;;
tocasson;;;
toechodonte;;;
toiletté;;;tolérée
toisé;;tolérée;tolérés
toléré;tolérée;tolérés;tolérées
tolstoïsant;;;tomodensitométriques
tomipare;;tomodensitométriques;
tomodensitométrique;tomodensitométriques;;
tonodynamique;;;tonométriques
tonogène;;tonométriques;
tonométrique;tonométriques;;
tonostatique;;tonotropes;
tonotrope;tonotropes;;tonturée
tonturé;tonturée;tonturées;tonturés
topochimique;topochimiques;;
toponomastique;;;
torcheculatif;;;torrenticoles
torréfiant;;torrenticoles;
torrenticole;torrenticoles;;torsadées
torsadé;torsadées;torsadés;torsadée
torsif;;tortes;
torte;tortes;;
tortillé;;;toungouzes
tortipède;;toungouzes;
toungouze;toungouzes;;
tourdille;;;
touristico-capitaliste;;;
touristico-culturel;;;
touristico-écologique;;;
touristico-eucharistique;;;
touristico-folklorique;;;
touristico-gastronomique;;;
touristico-géographique;;;
touristico-littéraire;;;
touristico-militaire;;;
touristico-musical;;;
touristico-obsidional;;;
touristico-pédagogique;;;
touristico-politique;;;
touristico-sentimental;;;
touristico-sportif;;;
tourmenteux;;;
tourneboulant;;;
tournoyeur;;;
toussotant;;;
toussoteux;;;tout-puissants
toute-puissante;;tout-puissants;toute-puissante
tout-puissant;tout-puissants;toute-puissante;toutes-puissantes
tout-va;;;
à tout-va;;;
toxi-alimentaire;;;toxicomaniaques
toxicogène;;toxicomaniaques;
toxicomaniaque;toxicomaniaques;;
toxicomanique;;;toxigènes
toxicophage;;toxigènes;
toxigène;toxigènes;;
toxi-infectieux;;;toxiniques
toxinicide;;toxiniques;
toxinique;toxiniques;;
toxi-parasitaire;;;toxophores
toxogène;;toxophores;
toxophore;toxophores;;
traboulant;;tracassante;tracassantes
tracassant;tracassante;tracassantes;tracassants
trachéal;trachéal;trachéales;trachéaux
trachélo-costien;;;
trachélo-mastoïdien;;;
trachélo-occipitien;;;
trachélo-scapulien;;;
trachéo-bronchique;;;
trachéobronchique;;;
trachéo-œsophagien;;;
trade-unioniste;;;traductionnelle
traductible;;traductionnelle;traductionnelles
traductionnel;traductionnelle;traductionnelles;traductionnels
traficoteur;traficoteur;traficoteuse;traficoteuses
tragi-comique;tragi-comiques;;
traînassant;;tranquillisée;tranquillisés
tranquillisé;tranquillisée;tranquillisés;tranquillisées
trans;;;
transducteur;;;
transfigurant;;;transformante
transfiguratif;;transformante;transformantes
transformant;transformante;transformantes;transformants
transformatif;transformatifs;transformative;transformatives
transfusionnel;transfusionnel;transfusionnels;transfusionnelles
transigeant;;;
transistorisé;;;
transmettable;;;
transmigrateur;;;transmutante
transmissif;;transmutante;transmutantes
transmutant;transmutante;transmutantes;transmutants
transpadan;transpadane;transpadanes;transpadans
transperçant;transperçante;transperçantes;transperçants
transpirable;;transpirante;transpirants
transpirant;transpirante;transpirants;transpirantes
transpiratoire;;;
transportant;;;
transsudant;;;
trapézo-métacarpien;;;traqués
trappéen;;traqués;traquée
traqué;traqués;traquée;traquées
traquenardeur;;traumatisés;traumatisée
traumatisé;traumatisés;traumatisée;traumatisées
traversé;traversée;traversées;traversés
trecentesque;;treillissée;treillissées
treillissé;treillissée;treillissées;treillissés
trémolant;;trempante;trempantes
trempant;trempante;trempantes;trempants
trémulant;trémulante;trémulantes;trémulants
trente-sixième;;trépignante;trépignants
trépignant;trépignante;trépignants;trépignantes
tressautant;;triadiques;
triadique;triadiques;;
triammonique;;;triatomiques
triarticulé;;triatomiques;
triatomique;triatomiques;;tribasiques
tribasique;tribasiques;;tribo-électriques
tribo-électrique;tribo-électriques;;triboélectriques
triboélectrique;triboélectriques;;triboluminescente
triboluminescent;triboluminescente;triboluminescentes;triboluminescents
tribométrique;;tricalciques;
tricalcique;tricalciques;;
trice;;tricentenaires;
tricentenaire;tricentenaires;;
trichodonte;;;
trichromique;;;
triconodonte;;;
triconque;;;tricrotes
tricourant;;tricrotes;
tricrote;tricrotes;;tricuspidienne
tricuspidien;tricuspidienne;tricuspidiennes;tricuspidiens
tridenté;tridentées;tridenté;tridentés
tridermique;tridermiques;;triflèches
triflèche;triflèches;;
trifocal;;trifoliée;trifoliées
trifolié;trifoliée;trifoliées;trifoliés
trifoliolé;trifoliolée;trifoliolé;trifoliolés
trifore;;;
trifourchu;;;trigémellaires
trigame;;trigémellaires;
trigémellaire;trigémellaires;;trigéminée
trigéminé;trigéminée;trigéminées;trigéminés
trigonodonte;;trilatéral;trilatérales
trilatéral;trilatéral;trilatérales;trilatéraux
trillionnaire;;triloculaires;
triloculaire;triloculaires;;trilogiques
trilogique;trilogiques;;
trimardier;;;
trinitré;;;triomphalistes
trinucléé;;triomphalistes;
triomphaliste;triomphalistes;;tripales
tripale;tripales;;
tripare;;;
tripenné;;;tripolaires
triplan;;tripolaires;
tripolaire;tripolaires;;
tripotant;;;tripoteurs
tripoté;;tripoteurs;tripoteuse
tripoteur;tripoteurs;tripoteuse;tripoteuses
tripotier;;trirectangles;
trirectangle;trirectangles;;trisannuel
trisannuel;trisannuel;trisannuelles;trisannuels
trisilicique;trisiliciques;;trisodiques
trisodique;trisodiques;;trisomique
trisomique;trisomique;;trissyllabes
trissyllabe;trissyllabes;;
tristolet;;;
tristouillet;;;tristounette
tristoune;;tristounette;tristounets
tristounet;tristounette;tristounets;tristounettes
trisubstitué;trisubstituée;trisubstituées;trisubstitués
trisyllabe;trisyllabe;;tritanopes
tritanope;tritanopes;;
tritonien;;triturante;triturantes
triturant;triturante;triturantes;triturants
trivalve;trivalves;;trochléaires
trochléaire;trochléaires;;trochléen
trochléen;trochléen;trochléennes;trochléens
troglobie;troglobie;;
troglophile;;;
trogloxène;;;
trois-quarts;;;trophoblastiques
trompable;;trophoblastiques;
trophoblastique;trophoblastiques;;
tropistique;;;tropophiles
troponomique;;tropophiles;
tropophile;tropophiles;;
tropophyte;;;
tropophytes;;;
trottable;;;trottinante
trotte-menu;;trottinante;trottinants
trottinant;trottinante;trottinants;trottinantes
trouvable;trouvables;;truffiers
truffier;truffiers;truffière;truffières
truffivore;;;
truiticole;;;
truncicole;;;trypanocides
trutticole;;trypanocides;
trypanocide;trypanocides;;
trypanomicide;;;tsigane
tsarien;;tsigane;
tsigane;tsigane;;
tsoin-tsoin;;;
tuberculifère;;;tuberculostatiques
tuberculiforme;;tuberculostatiques;
tuberculostatique;tuberculostatiques;;
tuberculostéarique;;tubérisée;tubérisés
tubérisé;tubérisée;tubérisés;tubérisé
tubérivore;;tubicole;
tubicole;tubicole;;
tubifère;;tubiformes;
tubiforme;tubiformes;;
tubo-ovarien;;;tubuliflore
tubulifère;;tubuliflore;
tubuliflore;tubuliflore;;
tubuliforme;;;
tue-mouche;;;
tue-mouches;;;tunisoise
tufeux;;tunisoise;tunisoises
tunisois;tunisoise;tunisoises;
tupi;tupie;tupi;tupis
turbané;;;
turbicole;;;
turbineur;;;turco-mongole
turco-chinois;;turco-mongole;turco-mongoles
turco-mongol;turco-mongole;turco-mongoles;turco-mongols
turco-persan;;;
turcophage;;;
turcophile;;;
turcophobe;;;
turco-tartare;;;
turficole;;;
turkoman;;;
tympanisant;;;
tympano-squameux;;;
typho-bacillaire;;;
typhobacillaire;;;
typho-exanthématique;;;
typhogène;;;
typho-pneumococcique;;;
typifique;;;ubiques
tzariste;;ubiques;
ubique;ubiques;;
uchronique;;;ufologiques
uê;;ufologiques;
ufologique;ufologiques;;
ulcérant;;ulcérogènes;
ulcérogène;ulcérogènes;;
ultimatif;;;ultrabasiques
ultra-basique;;ultrabasiques;
ultrabasique;ultrabasiques;;
ultrabrachycéphale;;;ultra-chics
ultra-catholique;;ultra-chics;
ultra-chic;ultra-chics;;
ultra-chiraquien;;;
ultra-classique;;;ultra-confidentielles
ultraconcave;;ultra-confidentielles;ultra-confidentiels
ultra-confidentiel;ultra-confidentielles;ultra-confidentiels;ultra-confidentiel
ultraconformiste;;ultra-conservateurs;ultra-conservatrice
ultra-conservateur;ultra-conservateurs;ultra-conservatrice;ultra-conservatrices
ultraconservateur;ultraconservateurs;ultraconservatrice;ultraconservatrices
ultraconvexe;;;ultra-courte
ultra-cosmopolite;;ultra-courte;ultra-court
ultra-court;ultra-courte;ultra-court;ultra-courts
ultracourt;ultracourte;ultracourt;ultracourts
ultra-décadent;;;
ultra-démocratique;;;
ultradolicocéphale;;;
ultra-droitier;;;
ultra-facile;;;ultra-fin
ultra-filtrant;;ultra-fin;
ultra-fin;ultra-fin;;ultrafine
ultrafin;ultrafine;ultrafines;ultrafins
ultra-gaulliste;;;
ultra-hégélien;;;
ultra-hertzien;;;ultra-légers
ultrahertzien;;ultra-légers;ultra-légère
ultra-léger;ultra-légers;ultra-légère;ultra-légères
ultraléger;ultralégers;ultralégères;ultralégère
ultralégitimiste;;ultra-libéral;ultra-libérale
ultra-libéral;ultra-libéral;ultra-libérale;ultra-libérales
ultra-marin;ultra-marin;ultra-marins;ultra-marine
ultra-microscopique;;ultramicroscopique;
ultramicroscopique;ultramicroscopique;;
ultra-minoritaire;;ultra-modernes;
ultra-moderne;ultra-modernes;;
ultramodernisé;;;ultra-nationalistes
ultramoderniste;;ultra-nationalistes;
ultra-nationaliste;ultra-nationalistes;;
ultra-nerveux;;;
ultra-papiste;;;
ultra-perfectionné;;;
ultraperformant;;;
ultra-phagocytaire;;;
ultra-poétique;;;
ultra-poli;;;
ultra-prudent;;;
ultra-raffiné;;;ultra-rapides
ultraraffiné;;ultra-rapides;
ultra-rapide;ultra-rapides;;
ultra-représentatif;;;ultra-révolutionnaire
ultra-repu;;ultra-révolutionnaire;
